day;month;year;Univalle;Lomitas;Bengala;Gja_exp_hoeschst;Union;Apto_Farfan;Aeropuerto;Amaime;Arroyohondo;Bocas_del_Palo;Buga;Bugalagrande;Candelaria;Cartago;Cenicana;Corinto;Distrito_RUT;El_Naranjo;El_Tiple;Ginebra;Guacari;Guachinte;Jamundi;La_Paila;La_Virginia;Melendez;Miranda;Ortigal;Palmira_la_Rita;Palmira_San_Jose;Pradera;PTAR_Cali;Riofrio;Rozo;San_Marcos;Santander_de_Quilichao;Tulua;Viterbo;Yotoco;Zarzal
23;9;1993;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;5,8;NA;16;NA;NA;1,2;NA;NA;26,1;NA;NA;18,5;21,3;0,5;4,5;NA;6,6;NA;NA;NA;NA;NA;6,3;NA;4,2;NA;NA;NA
24;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0,1;NA;0,7;NA;NA;2,4;NA;NA;0;NA;NA;0;0;0;0;NA;0,1;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
25;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0,1;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;0,1;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
26;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;8,8;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0,3;NA;NA;NA
27;9;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;1,1;NA;NA;0;NA;NA;0;2;1,6;0,9;NA;0;NA;NA;NA;NA;NA;15,9;NA;0,8;NA;NA;NA
28;9;1993;NA;NA;NA;NA;NA;NA;NA;5,3;NA;NA;NA;NA;11,9;NA;1,7;NA;NA;15,1;NA;NA;32,6;NA;NA;39,8;13;10,4;5,1;NA;7,8;NA;NA;NA;NA;NA;4,8;NA;15,3;NA;NA;NA
29;9;1993;NA;NA;NA;NA;NA;NA;NA;59,9;NA;NA;NA;NA;11,6;NA;47,4;NA;NA;13,9;NA;NA;24,7;NA;NA;7,4;5,5;34;34;NA;13,5;NA;NA;NA;NA;NA;11,9;NA;23,1;NA;NA;NA
30;9;1993;NA;NA;NA;NA;NA;NA;NA;7,3;NA;NA;NA;NA;0,8;NA;0;NA;NA;0,9;NA;NA;0,4;NA;NA;2,5;0;6,8;1,8;NA;0,4;NA;NA;NA;NA;NA;0,5;NA;0,1;NA;NA;NA
1;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;6,4;NA;2,2;NA;NA;11,6;NA;NA;4,4;NA;NA;9,6;0;16,9;6,5;NA;3,5;NA;NA;NA;NA;NA;18,9;NA;0;NA;NA;NA
2;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;8,8;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
3;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;3,4;2,1;0;0,1;NA;0,1;NA;NA;NA;NA;NA;7,4;NA;0;NA;NA;NA
4;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;0,1;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
5;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;0;NA;NA;0;0;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
6;10;1993;NA;NA;NA;NA;NA;NA;NA;24,6;NA;NA;NA;NA;1,4;NA;0,4;NA;NA;23,3;NA;NA;1,3;NA;NA;0;0;7,8;9,8;NA;23,2;NA;NA;NA;NA;NA;65,6;NA;0,1;NA;NA;NA
7;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0,2;NA;0;NA;NA;0,1;NA;NA;0,1;NA;NA;0;0;0;0;NA;0,1;NA;NA;NA;NA;NA;0,1;NA;0;NA;NA;NA
8;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;1,6;NA;NA;0;NA;NA;0;0;2;9,4;NA;4,2;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
9;10;1993;NA;NA;NA;NA;NA;NA;NA;0,6;NA;NA;NA;NA;7,5;NA;10,2;NA;NA;28,6;NA;NA;3,9;NA;NA;3,8;14,7;7,7;27,9;NA;3,7;NA;NA;NA;NA;NA;2;NA;0,6;NA;NA;NA
10;10;1993;NA;NA;NA;NA;NA;NA;NA;4,2;NA;NA;NA;NA;1,6;NA;1,4;NA;NA;0,4;NA;NA;0;NA;NA;0;0;0,1;1;NA;0,5;NA;NA;NA;NA;NA;15,9;NA;7,3;NA;NA;NA
11;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;3,4;NA;0;NA;NA;0,3;NA;NA;6,6;NA;NA;0;0,3;1,1;1,3;NA;0,2;NA;NA;NA;NA;NA;0;NA;0,1;NA;NA;NA
12;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0,2;NA;NA;0;NA;NA;1,7;0,7;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
13;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0,2;NA;NA;0,5;NA;NA;0;NA;NA;8,5;0,1;5,9;0;NA;0;NA;NA;NA;NA;NA;0;NA;0,2;NA;NA;NA
14;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0,5;NA;NA;0;NA;NA;0;NA;NA;0,6;2,4;0;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
15;10;1993;NA;NA;NA;NA;NA;NA;NA;3,5;NA;NA;NA;NA;5;NA;19,9;NA;NA;32,5;NA;NA;2,4;NA;NA;1,2;0,3;23,2;23,1;NA;21,6;NA;NA;NA;NA;NA;2,5;NA;2,4;NA;NA;NA
16;10;1993;NA;NA;NA;NA;NA;NA;NA;0,5;NA;NA;NA;NA;0;NA;0;NA;NA;0,1;NA;NA;0;NA;NA;0;0,5;0,3;0;NA;0,1;NA;NA;NA;NA;NA;0,1;NA;0;NA;NA;NA
17;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;7,7;NA;NA;0,3;NA;NA;0,6;0;0;15,1;NA;0;NA;NA;NA;NA;NA;0;NA;0,1;NA;NA;NA
18;10;1993;NA;NA;NA;NA;NA;NA;NA;1,1;NA;NA;NA;NA;0;NA;0;NA;NA;1,5;NA;NA;2;NA;NA;3;0,5;1,6;0,5;NA;0,5;NA;NA;NA;NA;NA;0,6;NA;1,7;NA;NA;NA
19;10;1993;NA;NA;NA;NA;NA;NA;NA;19,5;NA;NA;NA;NA;2,4;NA;1,7;NA;NA;30,3;NA;NA;1,9;NA;NA;0;0,5;4,9;1,9;NA;0,9;NA;NA;NA;NA;NA;0,2;NA;8,5;NA;NA;NA
20;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0,1;NA;NA;0;NA;NA;0;0;0;0,1;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
21;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0,8;NA;1,4;NA;NA;15,7;NA;NA;0;NA;NA;4,6;0;1,4;12,5;NA;0,1;NA;NA;NA;NA;NA;0,8;NA;4;NA;NA;NA
22;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0,5;NA;NA;4,5;NA;NA;0;NA;NA;0;0;0,1;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
23;10;1993;NA;NA;NA;NA;NA;NA;NA;26,8;NA;NA;NA;NA;0,8;NA;0;NA;NA;1,3;NA;NA;37,6;NA;NA;0,2;0,1;0;17,7;NA;0;NA;NA;NA;NA;NA;0;NA;4,5;NA;NA;NA
24;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0;NA;0;NA;NA;0;NA;NA;5,8;NA;NA;1,3;20,2;0,1;0;NA;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA
25;10;1993;NA;NA;NA;NA;NA;NA;NA;0,8;NA;NA;NA;NA;0;NA;0,1;NA;NA;6,4;NA;NA;0,9;NA;NA;5,1;0,1;9,8;0;NA;0;NA;NA;NA;NA;NA;0;NA;0,9;NA;NA;NA
26;10;1993;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;4,5;NA;0,1;NA;NA;14,9;NA;NA;6,9;NA;NA;0,6;0;6,5;0,8;NA;3;NA;NA;NA;NA;NA;6,5;NA;2,2;NA;NA;NA
27;10;1993;NA;NA;NA;NA;NA;NA;NA;0,8;NA;NA;NA;NA;0;NA;0,2;NA;NA;0;NA;NA;0,6;NA;NA;0,9;43,8;0,1;0;NA;0,1;NA;NA;NA;NA;NA;0,1;NA;0;NA;NA;NA
28;10;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;1,8;NA;2;NA;NA;0;NA;NA;1;NA;NA;7,3;0;4,3;0;NA;0;NA;NA;NA;NA;NA;0;NA;0,5;NA;NA;NA
29;10;1993;NA;NA;NA;NA;NA;NA;NA;1,6;NA;NA;NA;NA;1,5;NA;0,6;NA;NA;8,4;NA;NA;2,8;NA;NA;4,4;10,3;0,6;0,1;NA;1,3;NA;NA;NA;NA;NA;4,1;NA;17,6;NA;NA;NA
30;10;1993;NA;NA;NA;NA;NA;NA;NA;0,1;NA;NA;NA;NA;1,9;NA;3,3;NA;NA;23,2;NA;NA;0;NA;NA;0;0,1;1,5;34,2;NA;0,1;NA;NA;NA;NA;NA;19,2;NA;0;NA;NA;NA
31;10;1993;NA;NA;NA;NA;NA;NA;NA;11,3;NA;NA;NA;NA;5,7;NA;1;NA;NA;5,9;NA;NA;12,6;NA;NA;0;0;4,9;3,6;NA;19,5;NA;NA;NA;NA;NA;6,4;NA;6,8;NA;NA;NA
1;11;1993;NA;NA;NA;NA;NA;NA;NA;1,1;NA;NA;NA;NA;3,2;NA;5,2;NA;NA;6,1;NA;NA;0,2;NA;NA;0,3;0,6;2,4;6,4;NA;3,1;NA;NA;NA;NA;NA;2;NA;10;NA;NA;NA
2;11;1993;NA;NA;NA;NA;NA;NA;NA;42,4;NA;NA;NA;NA;31;NA;17,4;NA;NA;8,6;NA;NA;5,7;NA;NA;13,8;23,1;10,5;3,5;NA;54,7;NA;NA;NA;NA;NA;57,9;NA;11,8;NA;NA;NA
3;11;1993;NA;NA;NA;NA;NA;NA;NA;14,8;NA;NA;NA;NA;11,8;NA;36,2;NA;NA;30,7;NA;NA;4,8;NA;NA;40,4;6,3;36,7;31;NA;17,4;NA;NA;NA;NA;NA;5,5;NA;12,4;NA;NA;NA
4;11;1993;NA;NA;NA;NA;NA;NA;NA;6,3;NA;NA;NA;NA;3,7;NA;5,9;NA;NA;12,3;NA;NA;0,9;NA;NA;4,6;10,5;34,2;14,9;NA;16,6;NA;NA;NA;NA;NA;4,2;NA;0,1;NA;NA;NA
5;11;1993;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0,2;NA;0,3;NA;NA;0,1;NA;NA;0,1;NA;NA;0;0;0,7;0,5;NA;0,1;NA;NA;NA;NA;NA;0;NA;0,1;NA;NA;NA
